CVX,XOM,BP
47.890045166015625,43.98206329345703,31.199851989746094
48.29887390136719,44.14127731323242,31.28815460205078
48.8179931640625,44.645450592041016,31.398540496826172
48.86341857910156,44.479610443115234,31.36541748046875
49.20734405517578,44.43317413330078,31.497875213623047
49.765419006347656,44.85111999511719,31.86766815185547
50.394859313964844,45.23586654663086,32.29264450073242
50.53761672973633,45.0434684753418,32.761775970458984
50.206668853759766,44.6719856262207,32.44165802001953
50.394859313964844,45.01693344116211,32.54651641845703
51.58887481689453,45.613990783691406,32.81695556640625
52.192386627197266,45.58082962036133,32.750736236572266
52.04959487915039,45.54766845703125,32.723140716552734
52.28968811035156,45.51448059082031,33.11499786376953
52.94510269165039,45.28229904174805,33.429588317871094
52.40000915527344,45.063392639160156,33.04877853393555
52.769893646240234,45.26239776611328,32.82801055908203
53.24359893798828,45.7533073425293,33.37992858886719
53.15924072265625,45.72012710571289,33.16468048095703
52.69203186035156,45.48131561279297,32.866634368896484
53.645931243896484,45.93240737915039,33.04877853393555
53.594024658203125,45.965576171875,31.96148681640625
52.06257629394531,45.2889289855957,31.089468002319336
52.31564712524414,45.89923858642578,31.646907806396484
53.399349212646484,45.54766845703125,29.008743286132812
52.84775924682617,44.95724868774414,28.78246307373047
53.74977493286133,45.00368118286133,27.70069694519043
52.4065055847168,44.0948486328125,28.25813865661621
52.036624908447266,43.895835876464844,28.142234802246094
50.096370697021484,42.38331604003906,27.777969360351562
50.03145980834961,42.25728988647461,27.07703399658203
51.84193801879883,43.27225112915039,26.905935287475586
51.71865463256836,43.05185317993164,26.90041732788086
51.952247619628906,43.352413177490234,26.767955780029297
51.212501525878906,43.23886489868164,26.54719352722168
50.505184173583984,42.477474212646484,25.868337631225586
50.91127014160156,42.25707244873047,25.7027587890625
50.33488082885742,41.93647766113281,25.045982360839844
50.171142578125,41.70940399169922,24.985271453857422
48.20622634887695,40.29349136352539,24.604442596435547
48.782596588134766,40.66082763671875,24.207063674926758
48.10143280029297,40.19999313354492,23.103221893310547
47.531593322753906,39.87939453125,23.48957061767578
46.86351776123047,39.61224365234375,23.406780242919922
48.70399856567383,41.048194885253906,25.045982360839844
48.38306427001953,40.380306243896484,23.704822540283203
47.34819030761719,39.572174072265625,20.155996322631836
48.5533447265625,40.587364196777344,20.78518295288086
48.409263610839844,41.11499786376953,21.673765182495117
46.686676025390625,39.75917434692383,20.509227752685547
46.732521057128906,39.60556411743164,20.2884578704834
46.516380310058594,40.901268005371094,19.14046859741211
46.36573028564453,40.09312438964844,16.115970611572266
48.57954788208008,41.33538818359375,18.09183120727539
48.50749969482422,41.31535339355469,18.748615264892578
48.58610534667969,40.988094329833984,16.927282333374023
49.273826599121094,41.749473571777344,17.330183029174805
